algorithm,instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,population_size,generations,crossover_probability,mutation_probability,best_makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization,critical_job
SLGA,bottleneck_heavy,1,10,6,44,True,213.234,40,80,,,94,62,51.613,0.6826,0.5319,0.9468,10
Greedy ECT,bottleneck_heavy,2,10,6,42,True,0.332,,0,,,98,61,60.656,0.5952,0.3878,0.7755,8
GA,bottleneck_heavy,2,10,6,42,True,190.459,40,80,0.85,0.15,98,61,60.656,0.5952,0.3878,0.7755,8
SLGA,bottleneck_heavy,2,10,6,42,True,165.016,40,80,,,98,61,60.656,0.5952,0.3878,0.7755,8
Greedy ECT,bottleneck_heavy,3,10,6,45,True,0.262,,0,,,77,55,40.0,0.7359,0.6364,0.9351,2
GA,bottleneck_heavy,3,10,6,45,True,184.706,40,80,0.85,0.15,77,55,40.0,0.7359,0.6364,0.9351,2
SLGA,bottleneck_heavy,3,10,6,45,True,185.876,40,80,,,77,55,40.0,0.7359,0.6364,0.9351,2
Greedy ECT,bottleneck_heavy,4,10,6,46,True,0.274,,0,,,85,59,44.068,0.7176,0.5647,0.9529,10
GA,bottleneck_heavy,4,10,6,46,True,197.091,40,80,0.85,0.15,85,59,44.068,0.7176,0.5647,0.9529,10
SLGA,bottleneck_heavy,4,10,6,46,True,207.729,40,80,,,81,59,37.288,0.7531,0.6667,0.8519,9
Greedy ECT,bottleneck_heavy,5,10,6,45,True,0.234,,0,,,101,58,74.138,0.6172,0.3168,0.802,6
GA,bottleneck_heavy,5,10,6,45,True,188.28,40,80,0.85,0.15,101,58,74.138,0.6172,0.3168,0.802,6
SLGA,bottleneck_heavy,5,10,6,45,True,179.448,40,80,,,101,58,74.138,0.6172,0.3168,0.802,6
Greedy ECT,balanced,1,10,6,45,True,0.199,,0,,,118,74,59.459,0.6257,0.5085,0.8305,10
GA,balanced,1,10,6,45,True,195.415,40,80,0.85,0.15,109,74,47.297,0.6758,0.367,0.9083,4
SLGA,balanced,1,10,6,45,True,238.875,40,80,,,111,74,50.0,0.6682,0.3514,0.982,2
Greedy ECT,balanced,2,10,6,35,True,0.156,,0,,,90,61,47.541,0.6444,0.5444,0.8778,3
GA,balanced,2,10,6,35,True,153.467,40,80,0.85,0.15,80,61,31.148,0.7229,0.3875,1.0,3
SLGA,balanced,2,10,6,35,True,155.984,40,80,,,79,61,29.508,0.7257,0.1266,1.0,3
Greedy ECT,balanced,3,10,6,46,True,0.206,,0,,,129,75,72.0,0.584,0.3023,0.8295,9
GA,balanced,3,10,6,46,True,184.302,40,80,0.85,0.15,116,75,54.667,0.648,0.2414,1.0,8
SLGA,balanced,3,10,6,46,True,179.142,40,80,,,117,75,56.0,0.6425,0.3333,1.0,2
Greedy ECT,balanced,4,10,6,51,True,0.214,,0,,,122,85,43.529,0.6995,0.5902,0.8361,8
